x;result;tay_iterations;tay_time;cfiterations;cf_time
2816.9885;7.9434237;43977;0.000392;268;4e-06
2819.3626;7.9442661;44014;0.000384;269;4e-06
2821.7377;7.9451082;44051;0.000393;269;5e-06
2824.1138;7.9459499;44088;0.000394;269;4e-06
2826.4909;7.9467912;44125;0.000385;269;4e-06
2828.869;7.9476323;44162;0.000394;269;4e-06
2831.2481;7.9484729;44200;0.000395;269;4e-06
2833.6282;7.9493132;44237;0.000394;269;4e-06
2836.0093;7.9501532;44274;0.000399;269;4e-06
2838.3914;7.9509928;44311;0.000395;269;5e-06
2840.7745;7.951832;44348;0.000396;270;4e-06
2843.1586;7.9526709;44386;0.000396;270;4e-06
2845.5437;7.9535094;44423;0.000406;270;5e-06
2847.9298;7.9543476;44460;0.000397;270;4e-06
2850.3169;7.9551855;44497;0.000389;270;4e-06
2852.705;7.9560229;44535;0.000398;270;4e-06
2855.0941;7.9568601;44572;0.000398;270;5e-06
2857.4842;7.9576969;44609;0.00039;270;4e-06
2859.8753;7.9585333;44647;0.000399;270;4e-06
2862.2674;7.9593694;44684;0.000399;271;4e-06
2864.6605;7.9602051;44721;0.000399;271;5e-06
2867.0546;7.9610405;44759;0.000416;271;5e-06
2869.4497;7.9618755;44796;0.0004;271;4e-06
2871.8458;7.9627102;44833;0.0004;271;4e-06
2874.2429;7.9635446;44871;0.0004;271;4e-06
2876.641;7.9643786;44908;0.00041;271;4e-06
2879.0401;7.9652122;44946;0.000392;271;5e-06
2881.4402;7.9660455;44983;0.000401;272;4e-06
2883.8413;7.9668785;45021;0.000401;272;4e-06
2886.2434;7.9677111;45058;0.000402;272;5e-06
2888.6465;7.9685433;45096;0.000393;272;4e-06
2891.0506;7.9693752;45133;0.000394;272;4e-06
2893.4557;7.9702068;45171;0.000403;272;4e-06
2895.8618;7.971038;45208;0.000403;272;5e-06
2898.2689;7.9718689;45246;0.000395;272;4e-06
2900.677;7.9726994;45284;0.000404;272;4e-06
2903.0861;7.9735296;45321;0.000404;273;5e-06
2905.4962;7.9743595;45359;0.000405;273;5e-06
2907.9073;7.975189;45396;0.00041;273;4e-06
2910.3194;7.9760181;45434;0.000396;273;4e-06
2912.7325;7.9768469;45472;0.000397;273;5e-06
2915.1466;7.9776754;45509;0.000406;273;4e-06
2917.5617;7.9785035;45547;0.000407;273;4e-06
2919.9778;7.9793313;45585;0.000399;273;4e-06
2922.3949;7.9801587;45623;0.000407;273;4e-06
2924.813;7.9809858;45660;0.000407;274;5e-06
2927.2321;7.9818126;45698;0.000408;274;4e-06
2929.6522;7.982639;45736;0.000399;274;4e-06
2932.0733;7.9834651;45774;0.000399;274;5e-06
2934.4954;7.9842908;45812;0.000409;274;4e-06
2936.9185;7.9851162;45849;0.000409;274;5e-06
2939.3426;7.9859412;45887;0.0004;274;4e-06
2941.7677;7.9867659;45925;0.00041;274;5e-06
2944.1938;7.9875903;45963;0.00041;274;4e-06
2946.6209;7.9884143;46001;0.000402;275;4e-06
2949.049;7.989238;46039;0.000418;275;4e-06
2951.4781;7.9900614;46077;0.000412;275;4e-06
2953.9082;7.9908844;46115;0.000412;275;4e-06
2956.3393;7.991707;46153;0.000412;275;4e-06
2958.7714;7.9925294;46191;0.000418;275;4e-06
2961.2045;7.9933514;46229;0.000413;275;4e-06
2963.6386;7.994173;46267;0.000413;275;4e-06
2966.0737;7.9949944;46305;0.000413;275;4e-06
2968.5098;7.9958153;46343;0.000414;276;5e-06
2970.9469;7.996636;46381;0.000414;276;4e-06
2973.385;7.9974563;46419;0.000414;276;4e-06
2975.8241;7.9982763;46457;0.000415;276;5e-06
2978.2642;7.9990959;46495;0.000415;276;4e-06
2980.7053;7.9999152;46533;0.000406;276;5e-06
2983.1474;8.0007342;46571;0.000416;276;4e-06
2985.5905;8.0015528;46609;0.000416;276;4e-06
2988.0346;8.0023711;46648;0.000416;276;5e-06
2990.4797;8.0031891;46686;0.000409;277;5e-06
2992.9258;8.0040067;46724;0.000409;277;5e-06
2995.3729;8.004824;46762;0.000408;277;4e-06
2997.821;8.005641;46800;0.000418;277;5e-06
3000.2701;8.0064576;46839;0.000418;277;4e-06
3002.7202;8.0072739;46877;0.000412;277;4e-06
3005.1713;8.0080898;46915;0.000419;277;5e-06
3007.6234;8.0089055;46953;0.00042;277;5e-06
3010.0765;8.0097208;46992;0.000411;277;4e-06
3012.5306;8.0105357;47030;0.00042;278;4e-06
3014.9857;8.0113504;47068;0.000412;278;4e-06
3017.4418;8.0121647;47107;0.000421;278;4e-06
3019.8989;8.0129786;47145;0.000436;278;4e-06
3022.357;8.0137923;47183;0.000421;278;5e-06
3024.8161;8.0146056;47222;0.000421;278;4e-06
3027.2762;8.0154185;47260;0.000422;278;4e-06
3029.7373;8.0162312;47299;0.000442;278;4e-06
3032.1994;8.0170435;47337;0.000414;279;4e-06
3034.6625;8.0178555;47376;0.000423;279;4e-06
3037.1266;8.0186671;47414;0.000424;279;4e-06
3039.5917;8.0194785;47453;0.000444;279;4e-06
3042.0578;8.0202895;47491;0.000415;279;4e-06
3044.5249;8.0211001;47530;0.000415;279;4e-06
3046.993;8.0219105;47568;0.000416;279;4e-06
3049.4621;8.0227205;47607;0.000451;279;4e-06
3051.9322;8.0235302;47645;0.000426;279;5e-06
3054.4033;8.0243395;47684;0.000426;280;5e-06
3056.8754;8.0251486;47722;0.000417;280;4e-06
3059.3485;8.0259573;47761;0.000448;280;4e-06
3061.8226;8.0267656;47800;0.000418;280;4e-06
3064.2977;8.0275737;47838;0.000428;280;5e-06
3066.7738;8.0283814;47877;0.000418;280;4e-06
3069.2509;8.0291888;47916;0.000446;280;5e-06
3071.729;8.0299959;47954;0.000429;280;4e-06
3074.2081;8.0308026;47993;0.000419;280;4e-06
3076.6882;8.031609;48032;0.000429;281;4e-06
3079.1693;8.0324151;48071;0.000437;281;4e-06
3081.6514;8.0332209;48109;0.00043;281;5e-06
3084.1345;8.0340263;48148;0.000429;281;4e-06
3086.6186;8.0348315;48187;0.00043;281;4e-06
3089.1037;8.0356363;48226;0.000439;281;4e-06
3091.5898;8.0364407;48264;0.00043;281;4e-06
3094.0769;8.0372449;48303;0.000421;281;4e-06
3096.565;8.0380487;48342;0.000431;281;5e-06
3099.0541;8.0388522;48381;0.000439;282;4e-06
3101.5442;8.0396554;48420;0.000432;282;5e-06
3104.0353;8.0404582;48459;0.000433;282;4e-06
3106.5274;8.0412608;48498;0.000433;282;5e-06
3109.0205;8.042063;48537;0.000446;282;4e-06
3111.5146;8.0428649;48576;0.000433;282;4e-06
3114.0097;8.0436665;48614;0.000434;282;4e-06
3116.5058;8.0444677;48653;0.000434;282;5e-06
3119.0029;8.0452686;48692;0.000447;282;4e-06
3121.501;8.0460692;48731;0.000426;283;4e-06
3124.0001;8.0468695;48771;0.000426;283;5e-06
3126.5002;8.0476695;48810;0.000426;283;4e-06
3129.0013;8.0484691;48849;0.000451;283;4e-06
3131.5034;8.0492685;48888;0.000427;283;4e-06
3134.0065;8.0500675;48927;0.000437;283;4e-06
3136.5106;8.0508662;48966;0.000437;283;4e-06
3139.0157;8.0516645;49005;0.000453;283;5e-06
3141.5218;8.0524626;49044;0.000438;283;5e-06
3144.0289;8.0532603;49083;0.000438;284;5e-06
3146.537;8.0540578;49122;0.000439;284;4e-06
3149.0461;8.0548549;49162;0.000443;284;4e-06
3151.5562;8.0556516;49201;0.000439;284;4e-06
3154.0673;8.0564481;49240;0.000439;284;4e-06
3156.5794;8.0572442;49279;0.000439;284;4e-06
